,genre,rating,review_num,url,img
검과마법,roleplaying,3.9,16000,https://play.google.com/store/apps/details?id=com.longtukorea.snmg,https://play-lh.googleusercontent.com/NRVJlem8PtIIR61f6G20T_20fCr8qt3UNcOudtfXde1wX-RjXrKO3AofMadaF5TbZQ=w240-h480-rw
더 킹 오브 파이터즈'98 UM온라인,roleplaying,4.1,12000,https://play.google.com/store/apps/details?id=com.fingertips.kof98umol,https://play-lh.googleusercontent.com/L99-rkQZoNbT_wTTEQu_02p3PBy41dgN-t79GXiQKD0UqPyWv__xXCq2QLoI2X6_yA=w240-h480-rw
세븐나이츠,roleplaying,3.6,926000,https://play.google.com/store/apps/details?id=com.cjenm.sknights,https://play-lh.googleusercontent.com/rpLq1mWNwN0GclsTXVv4xrGtb1fUCbCkHqN55ecBBBVi9t_CNmJ33WhG-5fwNU5tids=w240-h480-rw
별이되어라!,roleplaying,4.1,240000,https://play.google.com/store/apps/details?id=com.gamevil.psrforkakao,https://play-lh.googleusercontent.com/nQAyNjWOJ_2TusHAABjj0rp-NAUAsg79plhIvzpuDghGmgbd-ZujfI4D0rp180nOggs=w240-h480-rw
몬스터 길들이기,roleplaying,4,1480000,https://play.google.com/store/apps/details?id=com.cjenm.monster,https://play-lh.googleusercontent.com/8bCmDr8ky7UuoKOFBacfZtaVmtQGbXnIwaM-zK_l_A-7TxX_o87LGe6jvThoiNyhUP4=w240-h480-rw
헬로히어로,roleplaying,4,38200,https://play.google.com/store/apps/details?id=com.fincon.hh,https://play-lh.googleusercontent.com/_ly_1QEVcWK4qaH06nSvgy4lAvfsFNqQ4cVFmY4GKwJ7M5hvIJS6Z29ucwQfsPJZw9A=w240-h480-rw
우마무스메 프리티 더비,simulation,4.5,50600,https://play.google.com/store/apps/details?id=com.kakaogames.umamusume,https://play-lh.googleusercontent.com/GRRgk62T-pWfC31TzcHe1_pALUc9oBtKLQsWB-VBxapLGSyoJl2VodT2Wr1XgwtCkw=w240-h480-rw
아이러브마트,simulation,4,9200,https://play.google.com/store/apps/details?id=com.noknok.mart,https://play-lh.googleusercontent.com/dcAE5OuT5QFmrJkJL5WxZlxsuGzmhvNLRtpApZ6iLLZp6udJSsB9hXGjanmKPCsEWSvK=w240-h480-rw
아이러브판타지,simulation,3.8,8230,https://play.google.com/store/apps/details?id=com.noknok.heroesinnkakao,https://play-lh.googleusercontent.com/_hdGaVBtqRylNAcDdoASIO08Q72Trt3KBnHflO90mOBa6ZNX72OI4SyTlPQkhl1yVY7d=w240-h480-rw
스튜어디스 타이쿤,simulation,4.3,2430,https://play.google.com/store/apps/details?id=com.softzen.stycoon,https://play-lh.googleusercontent.com/KY91JYrnO3V3EuF_LdA-MVb94XVMFCVp6E2z90S_bGWMX19nNtgnd_dBMIAe98qEzg=w240-h480-rw
마이리틀셰프: 레스토랑 카페 타이쿤 경영 요리 게임,simulation,4.6,18800,https://play.google.com/store/apps/details?id=com.grampus.cookingadventureforkakao,https://play-lh.googleusercontent.com/uGOgh75raTW5AIcKGn2h9L-6vscCBY3g10YMAKk8t8y5xocRC86wG13b0puPPzy4b5Y=w240-h480-rw
놀러와 마이홈,simulation,3.5,62100,https://play.google.com/store/apps/details?id=com.kakaogames.myhome,https://play-lh.googleusercontent.com/5hnskQs_e3PBVbUBXpjcrLwWNy7Fy3FebYEYQ9wXBqdWmmx1YEpP2sLhLOStYStkHQPQ=w240-h480-rw
