game_name,keywords
./DF\neowiz.games.suddaKakao.csv,"['광땡', '시간', '재미', '장땡', '피망', '올인', '섯다', '스릴', '피망섯다', '오링']"
./DF\neptune.tantan.csv,"['업데이트', '하트', '시간', '대전', '사천성', '오류', '스테이지', '아이템', '네트워크', '블럭']"
./DF\nexon.baram.csv,"['유저', '나라', '도안', '버그', '사냥', '슈퍼캣', '레이드', '생각', '확률', '아이템']"
./DF\nexon.hit2.csv,"['히트', '리니지', '히트1', '오딘', '히트2', '그래픽', '넥슨', '리니지2', '유저', '과금']"
./DF\nexon.kart.csv,"['카트', '라이더', '건전지', '카러플', '드리프트', '유저', '랭킹', '라이선스', '트랙', '플레이']"
./DF\nexon.nsc.maplem.csv,"['메이플', '메소', '메이플스토리', '포스', 'pc', '유저', '사냥', '플레이', '퀘스트', '컴메']"
./DF\nexon.v4kr.csv,"['그래픽', '넥슨', '강화', '사냥', '유저', '필드', '퀘스트', '플레이', '자동', '생각']"
./DF\ngonsub.VikingIsland.csv,"['진주', '바이킹', '바아', '업데이트', '건물', '접속', '아일랜드', '업뎃', '흑진주', '유저']"
./DF\nhnent.SKPOKOPOKO.csv,"['포코팡', '포코포코', '시간', '포코', '업데이트', '체리', '동물', '재미', '챕터', '모험']"
./DF\nhnpixelcube.friendspop.csv,"['프렌즈', '업데이트', '광고', '플레이', '아이템', '크라운', '합성', '삭제', '시간', '짜증']"
./DF\noknok.BEAUTYCITY.csv,"['미용', '러브', '라이센스', '로딩', '미용실', '스타일', '오랜만', '헤어', '시작', '가구']"
./DF\noknok.HappyDelivery.csv,"['레시피', '딜리버리', '햄버거', '해피', '접속', '커피', '버거', '재미', '시작', '친구']"
./DF\noknok.heroesinnkakao.csv,"['용병', '파견', '탐험', '여관', '버그', '러브', '시간', '일손', '가판대', '오류']"
./DF\noknok.HHBREAD.csv,"['레시피', '콜렉션', '오류', '오랜만', '업데이트', '보상', '메일', '버그', '고양이', '수정']"
./DF\noknok.mart.csv,"['크루', '마트', '주문서', '탐험', '품절', '보관', '농장', '상품권', '수확', '작물']"
./DF\noknok.small.csv,"['매장', '터치', '러브', '보관', '쇼핑', '편집', '진열', '아이', '접속', '오류']"
./DF\npixel.GranSaga.csv,"['그랑', '그랑웨폰', 'ssr', '캐릭터', '플레이', '유저', '스토리', '퀘스트', '웨폰', '진행']"
./DF\o.feverstudio.apps.everytown.csv,"['업데이트', '에브리타운', '시드', '타운', '접속', '전문점', '공장', '삭제', '업뎃', '레벨']"
./DF\o.sonew.chickentycoon3.google.csv,"['치킨', '매장', '튀김', '닭튀김', '터치', '통닭', '에그', '농장', '러브', '조리기']"
./DF\o.sonew.ilh.kakao.csv,"['조리기', '버거', '루비', '장갑', '러브', '알바', '진열대', '매장', '접속', '오류']"
./DF\oknok.FashionCity.csv,"['마네킹', '코디', 'dp', '시티', '패션', '단추', '완료', '알몸', '디피', '오류']"
./DF\oknok.HappyLifeKr.csv,"['수리', '가구', '밥솥', '로딩', '패밀리', '처음', '시작', '예전', '수정', '아기']"
./DF\patigames.ilovepasta4kakao.csv,"['파스타', '러브', '업데이트', '아이러브커피', '아이', '캐시', '오랜만', '단골손님', '시간', '접속']"
./DF\patistudio.milc4kakao.csv,"['원두', '커피', '접속', '와이파이', '아이러브커피', '사이드', '인터넷', '연결', '퀘스트', '오류']"
./DF\proximabeta.tdm.kr.csv,"['그래픽', '천애명월도', '무협', '스토리', '플레이', '컨텐츠', '재미', '생각', '시간', '진행']"
./DF\purplekiwii.mbkakao.csv,"['시간', '재미', '중독', '업데이트', '게임마스터', '에피소드', '최고', '스테이지', '재미져요', '킬링타임']"
./DF\sandwichgames.puzzlethreego.csv,"['꽃신', '엽전', '퍼즐', '업데이트', '고무신', '재미', '시간', '음악', '트로트', '광고']"
./DF\softzen.stycoon.csv,"['엔딩', '벌점', '스튜어디스', '서재희', '비행', '사무장', '청혼', '미션', '타이쿤', '기내식']"
./DF\sundaytoz.kakao.anipang3.service.csv,"['광고', '애니팡', '하트', '업데이트', '아이템', '스테이지', '시작', '짜증', '접속', '곡괭이']"
./DF\sundaytoz.kakao.anipang4.csv,"['애니팡', '스테이지', '아이템', '하트', '블록', '블럭', '특수', '광고', '클리어', '난이도']"
./DF\sundaytoz.kakao.anipangtouch.csv,"['애니팡', '하트', '업데이트', '트레저리그', '터치', '접속', '광고', '삭제', '화면', '트레저']"
./DF\sundaytoz.kakao.diffgame.csv,"['광고', '스누피', '그림', '시간', '스테이지', '캐릭터', '짜증', '아이템', '삭제', '하트']"
./DF\sundaytoz.kakao.joy.csv,"['환승', '디즈니', '하트', '코스튬', '타운', '레벨', '난이도', '럭키', '친구', '캐릭터']"
./DF\sundaytoz.kakao.matgo.service.csv,"['오링', '올인', '광고', '애니팡', '삭제', '몰아주기', '짜증', '상대방', '업데이트', '화투']"
./DF\sundaytoz.kakao.poker.service.csv,"['포커', '오링', '업데이트', '복권', '접속', '애니팡', '배팅', '머니', '삭제', '로우']"
./DF\sundaytoz.kakao.shanghai.service.csv,"['광고', '램프', '아이템', '상하이', '시간', '짜증', '하트', '투어', '삭제', '시작']"
./DF\sundaytoz.kakao.sutda.service.csv,"['사람', '섯다', '피망', '애니팡', '재미', '머니', '광땡', '맛고', '시간', '올인']"
./DF\sundaytoz.kakao.wbb.csv,"['아이템', '하트', '스컹크', '퍼즐', '업데이트', '난이도', '위베베', '이벤트', '청소기', '스테이지']"
./DF\sundaytoz.mobile.anipang.google.service.csv,"['애니팡', '토파즈', '광고', '삭제', '아이템', '접속', '설치', '실행', '업데이트', '시간']"
./DF\sundaytoz.mobile.anipang2.google.kakao.service.csv,"['광고', '애니팡', '업데이트', '스테이지', '시작', '하트', '아이템', '화면', '짜증', '스페이스']"
./DF\sundaytoz.mobile.anisachun.google.service.csv,"['광고', '사천성', '딸기', '업데이트', '접속', '오션', '페리', '이지', '시간', '짜증']"
./DF\SuperAwesome.HKFKakao.csv,"['키티', '헬로키티', '쿠로미', '캐릭터', '산리오', '사과', '재미', '시간', '프렌즈', '친구']"
./DF\webzen.mua2.google.csv,"['엔젤', '웹젠', '접속', '과금', '아크', '보스', '재미', '생각', '현지', '그래픽']"
./DF\wemade.mir4.csv,"['미르4', '그래픽', '미르', '채집', '업데이트', '플레이', '접속', '컨텐츠', '토벌', '진행']"
./DF\wemade.mirm.csv,"['미르', '그래픽', '리니지', '진행', '사냥', '재미', '화신', '버그', '과금', '유저']"
./DF\zenimax.bladeskakaonew.csv,"['엘더스크롤', '번역', '가로', '세로', '스카이', '통신', '퀘스트', '오크', '자유도', '던전']"
